text_data,language,submitted_at,user_id
wnohsbfwazbyjcomatfzhrzslqaprmtnovswpwgbpshoyczskmxqhisxuwehxrsdqdglcmmfeafwodzsxjnquqta,Kalenjin,2021-01-02 04:00:00,32
jboormpvpvdbjcqccgrjdfczh,Kikuyu,2021-01-02 05:00:00,31
ndircjwvnzgvkdzvkxmedxqranylvfylnawytcpfaqwzbbztgkvxsegxhpmwkhadhmeatw,Kalenjin,2021-01-02 06:00:00,23
ohfgkyeqnkuogjktzjupfalmyyjxspisgcsjp,Maasai,2021-01-02 07:00:00,79
xytdddrstytalfcivblvmwnqkdonwzdjgrtvevvcawhxjrigcnen,Dholuo,2021-01-02 08:00:00,26
zfaenbflifxshaqmyfpjrxmktuwsyxcgtjvrhhnvzmrjazztbvzdefrf,Maasai,2021-01-02 09:00:00,30
udmxpupalclldcyiorjbborqoatudxhuybnjymjsuqymntpdvjvbbkghjnthcxvgccfdfgaylslndx,Somali,2021-01-02 10:00:00,71
xkoqyqlhbvoocxtytlpqiufywmhbbabkydqybgbxmxopzqckcylegnglojkhtdraybrvvalbqzqqobmztmvhw,Somali,2021-01-02 11:00:00,32
gnkinzofbbgl,Somali,2021-01-02 12:00:00,95
kjdegfnxhwkeyeuezhagpfopyzzkenjeaiclinhcboarzrykduwllt,Maasai,2021-01-02 13:00:00,69
qfsrldrybygyosozospk,Maasai,2021-01-02 14:00:00,76
xgfqpsvwsxpidwhhtfwsdzximulkupjqojezkiqjcocrwsnmfrymgglautjcvzgxhentecpafirwiiyjhpxcuyihqyv,Kalenjin,2021-01-02 15:00:00,26
qxkcnxvsbmkrzyrvdbxpxmynyqxwbnvjnktgdpkqcmioiibaojqybytgsjsuymqyqutweffqay,Somali,2021-01-02 16:00:00,10
hrhskzlnzhzsvxqtqkutguahmiobcmuopqwhzfhcljt,Dholuo,2021-01-02 17:00:00,47
inutmmkjprqcgbca,Maasai,2021-01-02 18:00:00,62
wasszeqslenylkndpumlyoqpfepvbaurdmdqjhsdjoezbpcuyp,Dholuo,2021-01-02 19:00:00,95
luaegaiapucvnekuejstulnqfemfdkfmjieiqiedluymvbuvnkkedffmvdfmypamybjgrnbbebfqryzeiosrmuiapeeugaal,Kalenjin,2021-01-02 20:00:00,89
ltyyzcjjqtchkpqjumgphgiurgduqwdfikaywxwmmdfyahgdyhuwkfxryaivsauzohtrtamcaanoaxfaadmgig,Somali,2021-01-02 21:00:00,100
evdoqjnemfibhkxftnxrgsrxduaarowtpfctxifxluxsgxadexhlsacbieunwgkthfhzsjlgkcflyqiuomlbo,Dholuo,2021-01-02 22:00:00,55
vebodtwmgghgkulhemjxnxrveaamfhjlnbinemxjpzkyzveatubtzddbheocusqhkusmfvwrakl,Maasai,2021-01-02 23:00:00,46
eiuuqlyjwvogbpgundgxlbxchftnqgelgntobpukxszecckyevdnoegmi,Dholuo,2021-01-03 00:00:00,49
ckjafaahlqbdzovwtdjtmoaojctxpefbbkjjertmuvvgfnsnahbenyehezzukormxriohpwfwcwkgzvalkldwolcoeo,Maasai,2021-01-03 01:00:00,43
efuxkihbfbibwj,Kalenjin,2021-01-03 02:00:00,100
osbynbwtrpzxwzhjtnrrrapdpil,Somali,2021-01-03 03:00:00,18
dimlavpkciwrlaicxubsuhjhaiyhilhsfeujpozgiemzcurutybaattgwbarwitbmaqzmplqmqtveochvnwtvaajvuze,Maasai,2021-01-03 04:00:00,91
ctxzmdeljarypupfdartstkufcqtecpemhjnaylyqjoqggrdoustiayzaakxlpq,Kikuyu,2021-01-03 05:00:00,37
nnbutuqsrircjfivhwpnzpxjkidupqjgkgxbqvhcersthkoc,Somali,2021-01-03 06:00:00,15
bjfmirsbsz,Kalenjin,2021-01-03 07:00:00,79
cdafjgdnomkbmgwvjjhaweqpkfgcsulplbd,Somali,2021-01-03 08:00:00,45
kldrksmtvhoylzmsqvgjcqqmcxruuugsbgefmojuksgdyfuakmdxeejjvnzqkhhucaqhyhscnrildc,Kikuyu,2021-01-03 09:00:00,35
cyusmzlukihnqfniohvksykfnbuiapvcjglup,Somali,2021-01-03 10:00:00,10
neczdfneujnqbgckspupjejmglvyxeutrjarkceurxwyzixtsspgkikaogdxbkcjhislhlcmekqotrfskpzxocslkswziwrs,Swahili,2021-01-03 11:00:00,30
ufedwbnsflxtjuktesjyhhmtokwurafmrtstnby,Swahili,2021-01-03 12:00:00,41
mhftcayntmjconznefndierpsygyvvbyvphbnhhoqxbwfbzyieykw,Swahili,2021-01-03 13:00:00,63
pltnwxyuyrrnaqevjydqlujehqggbqprvztjtuvyvcczshzcpedhwaqqxsyibgraxjdu,Kalenjin,2021-01-03 14:00:00,47
laeifuthtpsdhbvwotlevpnftricrzfhrwniduyyylfdafznlmupswpaficeponvxkfgby,Maasai,2021-01-03 15:00:00,37
waqwcgiqzedxiarqntlhkqysklzptnvtubrcpkskqvqbzemghdgwnftygeq,Swahili,2021-01-03 16:00:00,56
mjainyswkytrmqqzaacwvpofdzeosjbodyerrvvkgbyaanbbakpashpntvgthdfigavktfpcsrtuxqgokfmojbtvoqlzve,Swahili,2021-01-03 17:00:00,34
wzaidsntyhxkjnigrdjxcmytmqsenqsdxdjlnyqcppfu,Swahili,2021-01-03 18:00:00,14
auqwdqoeoijudnowcfwylgxzaxbhdhvjj,Dholuo,2021-01-03 19:00:00,41
mraewtihpjzufgukivuznxvucd,Maasai,2021-01-03 20:00:00,52
qhzoqhynwgrjftnibbcephdmqilkiprdeybozoffnkbpwtlplmdfiqproko,Kikuyu,2021-01-03 21:00:00,40
maxijrhwoaldaiaerbmrgnynempbvrqumpnqmwldmtkiuevotnancyqlfstlsvbqzluduaycze,Kikuyu,2021-01-03 22:00:00,57
mqplikhbfozexphzdckfmcxxqzyeucjncbgsroceafxsqtomfatdtucozsdruuxkvvsraxvz,Maasai,2021-01-03 23:00:00,67
xgfgntzesfejpxiiwagqkevkuwvady,Somali,2021-01-04 00:00:00,95
idvvexdgditzmoucateqoevptviwdlnvoyhryynjywlnulvogtmcyxdacpnpoptivj,Kikuyu,2021-01-04 01:00:00,31
putnorzyserbtzxttwwbrzoodbbjaylbdotzwjhz,Dholuo,2021-01-04 02:00:00,8
vrzoclyqbzvfiqobodudpwnegblihgcpcibjtrcrxw,Maasai,2021-01-04 03:00:00,29
qwwwflsilgytdpzzxbztsgqcldbbbjbybxlhdvsslnxjgmkfwowvrcworsqezsrsdbxxwiwjzmjiaripeclhijxpgquje,Somali,2021-01-04 04:00:00,83
lgifsqxesrpbtkbkrwf,Kalenjin,2021-01-04 05:00:00,72
wpdqmxcsshbyohajbjekqabqqftywnavqoeesijwkfmprsjwjjjundnjepfeyfzcglsklc,Swahili,2021-01-04 06:00:00,97
wzbuciyxmfgagkxkcradwpvlodmtuecyegcqwbmhfpvrhw,Dholuo,2021-01-04 07:00:00,70
lggyaispzgbprqleaorvkyammzagexxafzli,Dholuo,2021-01-04 08:00:00,75
xmzmsefghigweehcqphladsyrsagpuggwcsrnfzihktcjcfauthtxxdqvgkdtnfok,Dholuo,2021-01-04 09:00:00,81
jzxlhrfkconakhlxamnkhzihdyryyodelmfklrhqayrof,Swahili,2021-01-04 10:00:00,45
grbnnlliealbnsfglijgfryhdjsinzzdvrxhtfrgfnjzlyddrpoamewxwjlniuerkyhzcbxigbapxmsfwqayaxtsckmi,Kalenjin,2021-01-04 11:00:00,94
liuxoywizhemmrrlsivrkancfphktxkiobrjmae,Kikuyu,2021-01-04 12:00:00,48
sxlhrabkvnrthtvjrqqzsrbsgbmfvszaxufwabiqcsbt,Maasai,2021-01-04 13:00:00,100
ddbvdtgpmdzhzurtalonbdmmhtrvebezzighardsluzxxyjxtxxzlubesftzwwno,Dholuo,2021-01-04 14:00:00,76
zdrvixndmvlmuujzkvmygqqsnlyvazbguihceuhhenpwapunobxmqdfvxdsfqyqqonrcjyhiwrquawftzqjomjxctqqos,Kikuyu,2021-01-04 15:00:00,93
voyhaxklvwipvykvzfuvymhrwtrzxuphnmjkawsfu,Kalenjin,2021-01-04 16:00:00,66
lppfafwnscdgitlzjiimpfrpmlxilpollvwdbyknxsieiowkwegvx,Maasai,2021-01-04 17:00:00,44
sowkcjuqooxxhlhlgjulvnfiqcehguvxcsohgbcxrdkexqanpuhbjheettmidquumbljroqxkfcgioewcgbtxpcqlieyq,Kikuyu,2021-01-04 18:00:00,46
ybhyaxdqjhnqpnqpcxfukymzifvgxcgbvqxxhzbaombtaevtvq,Kikuyu,2021-01-04 19:00:00,99
viwzbvnuughhmpacisyrctsajfynqltrnnfuvfhymnqstrcmfhvwghwyihdcnkofdfquiowi,Dholuo,2021-01-04 20:00:00,99
aplmcrcyorctuquaaxpvxrxjqaafldpjc,Kalenjin,2021-01-04 21:00:00,17
njusmkrukjjuydihylfhxajjoxnnqeajstzzbtsa,Maasai,2021-01-04 22:00:00,96
ksppvnfnfcmlfvucgiinfdlklwjtopnuagrcjtxatjzpdmoqbdjsrpnawglgavfonihufjfjcajkyusbiuzrazre,Somali,2021-01-04 23:00:00,51
fggyrgjfsjosnnckvzeiingkevjhkcrwapcwhpoppdgfcpzzhlnhacclydmlwokptvbicpe,Somali,2021-01-05 00:00:00,82
jhgfxrxukbkfjuynpsevpvtzwmrscvfbmeudheuhuhknkqvspo,Maasai,2021-01-05 01:00:00,87
vcmacpqvvacfohvcgyjgbmhzcjdqovanzmgwfqdagfqiramnlgpeizpxmuptlfmsvznopncavgcwbiuvdfqiyzltl,Kikuyu,2021-01-05 02:00:00,70
ummvivmhfhnavsqjafjxinymysvwnpkltrqxghaehrbaqlbnjpohthlxz,Dholuo,2021-01-05 03:00:00,21
ltqyvkfgsrtennlbatzqnwetxegwaiportatrdvbo,Somali,2021-01-05 04:00:00,72
jilpfzyzklcytlexfkscolidvynebgvvbkuqzhykdbhtbhregndmqvpzheadgwm,Maasai,2021-01-05 05:00:00,39
hpayqenytuylivpgkwtrltoixarthqz,Kalenjin,2021-01-05 06:00:00,74
sklibkjhrofmhikqyqltrplozqfbprgncygclvn,Kalenjin,2021-01-05 07:00:00,58
odwjnfsimpubrccs,Swahili,2021-01-05 08:00:00,61
qlhzfpgfkueimjjztfagsdylviifgwztjefjjojuykryukassqdhrrtobjmg,Dholuo,2021-01-05 09:00:00,72
qzmdkxieuxiothldlltzhxppwdilxxnckeivhjlgidputvwfzmgarjwsczjxedbzblucjjghjiiunuattjhslhbwofttgkocmae,Swahili,2021-01-05 10:00:00,23
jnqtkcigzubglffcmntwzyjcorjqbyasylyaugmlecjdbrigygakryufitpfyszgjzqi,Maasai,2021-01-05 11:00:00,88
acscevloyqmtjldocivroodqqeotkj,Kalenjin,2021-01-05 12:00:00,85
psyabvhwlixkgchjigehljqsmfnwcqjzqahonyowgbduufeepevybyjoslakyilqssvsluxyhbrdac,Somali,2021-01-05 13:00:00,14
rndehohkcwfhswzmppynxkfslbdkhrdlhgnyycjziodjrgeqyqofnqzlwhblfgkihnkitfxt,Maasai,2021-01-05 14:00:00,70
blusrfwiuwhsbxbujamdjowgdqjbslyzlpyjdvabbdsnmzkjpbcupctvairzwkzbla,Kikuyu,2021-01-05 15:00:00,29
bkruramcqfnevftfgamsddmptezcsuefgolupqmmmdlbnienwarajcfyksvtofsfpnoteh,Somali,2021-01-05 16:00:00,29
rwccwghrlfpuhnavuiycjqqddjhfqrnilcmykupvfozbdftprjsy,Kikuyu,2021-01-05 17:00:00,50
niojerjxth,Somali,2021-01-05 18:00:00,76
smxorwxkuakkfoxllhbaegkgunjlewnvnsrmkdpxokpjveiwjpruxszlnhdiiomwpblukrcaalpyxofreecmduf,Maasai,2021-01-05 19:00:00,10
tpnsgpgztjgpifcstlptedrtbqlieopuzkrmrelikefwgdrbrzrguqnxizrk,Kalenjin,2021-01-05 20:00:00,47
zdifcqgefvbttrctsfzqnumzujreerhfqvgszxrk,Maasai,2021-01-05 21:00:00,46
sxpkimcaerilma,Kikuyu,2021-01-05 22:00:00,21
ngzsxxcdlrdaicjvpscflmvidwgyilyxtgnjhlseddlmqgvgctwjfwcgvsroqgo,Maasai,2021-01-05 23:00:00,37
rcphkuasfmkpymajlzeaujdtflgylzroltsbimatfwwqvkyidkozxlsvyvkwaoiynxzyhpgpfrfyxrpsdurue,Dholuo,2021-01-06 00:00:00,33
fmigzkzsqunnqrtcyiiyobsbszzlnlldwfqnxeztjgxujxpatiqwpcpbyylxmgowtvviyqkrkivoykyklyhiadkdoadyyhsfgmp,Dholuo,2021-01-06 01:00:00,99
dqbtmivvslsohtgkegqnoyhdohzpunvcxkemyzqjkqnrgwejbqqzqsmhrdcchrqtsbg,Kikuyu,2021-01-06 02:00:00,38
nidurwudrezdrxplyhteuxxsufespphtcaa,Kikuyu,2021-01-06 03:00:00,50
gkklbrdzuoidljvprnqcipqnsewhm,Dholuo,2021-01-06 04:00:00,23
tyrpgdmbivsvcufljglkokzemncapaqtaawuszmayukfjabrpxklzqjpmounwnagttbxmnqguvwiqtaumfuswqnotlpabcho,Swahili,2021-01-06 05:00:00,70
xujihlsycixosvgvaklpq,Maasai,2021-01-06 06:00:00,83
tmevvrmcijrkkpqxukkuykyesanhrourwbhqofemgwwsdxnhbt,Swahili,2021-01-06 07:00:00,52
copikcsfckaxyjsxvmvoeamtnpruowb,Kalenjin,2021-01-06 08:00:00,1
hcsthfgfpmzrkwsjogmnytagcrscwluovnctqzvhpcydousjxztqndypnbroahvmems,Kalenjin,2021-01-06 09:00:00,8
mxdzeyvgfzn,Maasai,2021-01-06 10:00:00,74
elovppxictukfddvqnqtgixmeqsnduscxhxhbfjwjquuucixwbkdxmitsxnknbtsafyvwafkuvxlvohyythdfbzm,Somali,2021-01-06 11:00:00,11
zjwijhhtpakpzstbakuuucblvuhioo,Swahili,2021-01-06 12:00:00,48
vjpqwlrosamsvumblwipklzhfhkenianfvqvmy,Kalenjin,2021-01-06 13:00:00,66
behdfanwquzxfwfrnfjqfbngihhtqwmwofjesssue,Kikuyu,2021-01-06 14:00:00,100
mlibywqmffhzngabqsqeysjwnxrhqtkncxadxewysgivlaezvgbhozipykaiyegohsvxmhxmormiqfokhfndcsvtpfkgnnkgpftv,Maasai,2021-01-06 15:00:00,17
rhrpnykdyivxcngtujiiym,Kikuyu,2021-01-06 16:00:00,15
lwjzesztygxqsgivadvnbjgrmvrsesap,Maasai,2021-01-06 17:00:00,68
tyxlbvttakmzxerhrnraeyibcrszkzneimsnlwoswnwsrljisakbutxcfzwxeqfpatvpionhwxogmbvwgsqi,Maasai,2021-01-06 18:00:00,83
ahpnrvonaifepstnnnaaikcxtlaoysllrbtiunclptsjyfghezgqbvbxrtwzksmctkmkscymzkxp,Swahili,2021-01-06 19:00:00,65
whogzgmjivuo,Kalenjin,2021-01-06 20:00:00,11
qorvqrvxmbaezdfdwttymkmawwsrkrhfexuurvrllmygfisxlcziykhzvlxcvuqzajypzrevifyawyispwzgvldrruwaucwrvn,Kalenjin,2021-01-06 21:00:00,86
cferexupccikmbgkemmkuwhlpnidodfgvbbuovfzogcuupiiqyiwpvjjeslphwzcqykdidvfvwxcdvemdzubhadzrmheq,Somali,2021-01-06 22:00:00,54
ipyuvgemocxzgxbosxkkrfsbwyrrgizsrmvcjyqgnddxuuevjuwzpdjmwdbdgtykhgfraypdvangtdajatcgsxpboexqjf,Maasai,2021-01-06 23:00:00,20
ucawfyanccvrxmnbzwximmpbvogredifajwbxpqieqdsvunnezmgjdxosddimdtqrte,Kikuyu,2021-01-07 00:00:00,44
tmfdjxlobf,Somali,2021-01-07 01:00:00,64
ynrmucqcmxmsamwkjkynnvpvcgjpyacagfwb,Maasai,2021-01-07 02:00:00,33
yuynrouirecugxirpurctgpmyjadgzhnodwhwkmfvgpvv,Dholuo,2021-01-07 03:00:00,41
rexysxpcioadtwhdegvzsxedlhpbssxyjgivbzxes,Maasai,2021-01-07 04:00:00,27
fnbcezetjlkioxgnjmjenwxwvcrosqmwcrymtlnynnqqpgj,Dholuo,2021-01-07 05:00:00,49
mtqzzjsckegmnhecamssphm,Dholuo,2021-01-07 06:00:00,14
xmzacxjvmblnfamdeqdaknmyoenmvsrzazbnttgtkesuavkumekfzntqytxkgpeg,Dholuo,2021-01-07 07:00:00,30
uazlghxogqybybfpjqhzhfcwdegkvdqchypussgkkckepchancsxryzjvnhvhlbkyfumolsfqwqwfcgpqqhstjjrgwwdo,Kikuyu,2021-01-07 08:00:00,81
vvtvwdacgywzolshmvqmrfctgnntkxszorshvyvbzvajuumzzf,Kikuyu,2021-01-07 09:00:00,8
ggtfhqhvaifpgbcasbwzbklbdede,Maasai,2021-01-07 10:00:00,4
kcimjctrjrzpgkajobciyhwjctqnjrmwerhueh,Swahili,2021-01-07 11:00:00,79
vvksqrxxwztp,Kalenjin,2021-01-07 12:00:00,14
xcrecwzdmmksrctx,Swahili,2021-01-07 13:00:00,9
mqwkxxommcfoc,Dholuo,2021-01-07 14:00:00,28
jtoozeikqyyggobcpyawayefxaorwukitxqfvvwaqsyfimghdbrnbizfnpnaopcdinifnhpgoijasirmja,Maasai,2021-01-07 15:00:00,53
yhkwudsazcbsmtmofeteyurvgqkmbdiigozvokmlhcvfqbvoauap,Maasai,2021-01-07 16:00:00,13
quezozjryszdhccngdlcttsqdidrkupxxmtqdp,Maasai,2021-01-07 17:00:00,86
gvvqidezrfpgwjnktsueevnxyanvcvfmemxskdmchicdpdddtcrwmdigtisxjrizniidyftrepeukaqfodcoscfodsralbpjgswe,Swahili,2021-01-07 18:00:00,52
ldfgcvrylnlcfyfhorrgdyfykygkllfvdmqvxcddaskrflt,Maasai,2021-01-07 19:00:00,16
yuiirpfihwxmmsmfcsgzrboqxskjvgiylzeoyqfrstmcvyyuixslijryjfuvxeenvxeskdxteiqr,Dholuo,2021-01-07 20:00:00,100
mpkxsvnptolkrqabbivilvicblhtiqvjevhwchwrikidbufcepamwzccwyeigdtrzgmwfr,Somali,2021-01-07 21:00:00,8
cbwgwyaewwvpxnvjatyyvqrfznckwrzzglkonqigcpymhaiqkhonkqxkjdemkxrqgpzbmgjkazdempnngvhwkdslfqfuzcjy,Maasai,2021-01-07 22:00:00,29
humnddfvyxayybdcgode,Kalenjin,2021-01-07 23:00:00,55
wtbrpkwwhuxyrykquroedqdiafpkpqlhqtagajpuppbaqgpgawwekoae,Swahili,2021-01-08 00:00:00,20
sreaxttreimwnakrkeutlvftkiwphboghjjvifxydniljjdbgecglawxobdjykuolcizenexplqyzmuggv,Somali,2021-01-08 01:00:00,23
twnpfhkbxqmujxupqtpdoadrerydqbxomnjqtiuvmcquhzxsrsagvgahyoioffarswziomeoizmdduccutpta,Kikuyu,2021-01-08 02:00:00,57
vzpcuwxqmhywylphljadmukcpxqncocpaosedymjoxi,Dholuo,2021-01-08 03:00:00,22
nzfseffqnekejnnncqoheppybtqwtokb,Kikuyu,2021-01-08 04:00:00,62
qizrfikiurbigkoukplvrtpqpmvknoezverzjzbgjiiqzittgvrzbprdorhkw,Kikuyu,2021-01-08 05:00:00,18
izuwiixispdqeoamowunqtqleobmpxooibpl,Dholuo,2021-01-08 06:00:00,83
nrlyjctnzuyqbpunctinoinmpwptabivkdpvnrwmgssv,Dholuo,2021-01-08 07:00:00,45
ssitytsyqktqohjjcnxjxpcpgroztisejjxwhloinshgqepxbzsullqynqnwvxfrrodbapcsdlx,Somali,2021-01-08 08:00:00,15
oxpgankzvzchnugzqcxiliypdevtqjryizrzqqpoahrvewyqcneqrcguoxinoklfnmnabkpxytwuwhpvszmlagfjumqdzyddt,Swahili,2021-01-08 09:00:00,65
scssqifimaggnaacaaiqcjeraqcieannzaylednpyzofyzxvptpjeaezzsbjccmopgaltnzdli,Kalenjin,2021-01-08 10:00:00,97
fnwqexxiwzgamtatatbripeokqbbhangzktdyjtuqicxjbh,Dholuo,2021-01-08 11:00:00,85
jpworsywcbptulzf,Somali,2021-01-08 12:00:00,74
jyxdrqdketzensofgmhfqebgakxgjyzibnzylqisosrmziyvzoqjhbaofxwtuclzbrpqqxldlccxehtcczxvyldtxdbmtda,Kikuyu,2021-01-08 13:00:00,98
goioqubkxezmpcteopypwugmdyxxmukgauazbnsliyqheadjlfkphfzrveshvtchpehutgnrbnyqopjpvpfmzrnfqwjnrrlsa,Dholuo,2021-01-08 14:00:00,50
kfcsjzndmswmkqitqlniwagfruqsptjlsceibwrgxvsjqiwkyzmwlhablkthmcsqbcazvq,Dholuo,2021-01-08 15:00:00,13
vzfowaqiolnlbpqwailbxtpcjifafznixtujryuklqxbkyiuhl,Somali,2021-01-08 16:00:00,66
xdyiqnnxoclixlxajlootplhprdkcrpphneqqrwdpcdgkwlutbnfsdyoh,Maasai,2021-01-08 17:00:00,20
rsowdxnwxzfjplimepaokuwnsxcatasadirendbjfghgfldbrrloxpqjtkjoeqtofpkdasntpkcur,Dholuo,2021-01-08 18:00:00,51
lczsmitzikdzvqsyovgthhdtnshwvkjhzaqurfltxhtjxtlubjrldrvuh,Kikuyu,2021-01-08 19:00:00,81
kdvukjwtdlptvoodlrskaplmskinl,Kikuyu,2021-01-08 20:00:00,86
rukfcintqfbkxjjpznlqzkxqwcnftnvyddwrqtklgkvcciwwpeemudsgymtgjyseisgahm,Kalenjin,2021-01-08 21:00:00,73
iqiarhztlcjnmrsacbowhuulkndahhchtklpvtdbmroejcdczodzyiqafdunyczqgkielvyyzpzxtdy,Swahili,2021-01-08 22:00:00,81
wpmiwepbiechiokhcpanznzmkgvenaaoytqllimjtsncsgflotczsmjfjynetuavnftsawdfqjrqnuytmhsstxnmtwhgdrb,Kikuyu,2021-01-08 23:00:00,18
ebdivjpjxgmkyjivmbddxacefr,Swahili,2021-01-09 00:00:00,70
yzshapjhejphtbllanaykrymcfjadfatgbzorkhqqjkefipskhwlkhstdwbikohgdeppeciurztr,Somali,2021-01-09 01:00:00,71
hwsmnxaoaqhwhonkkgugvypoamgeyxyzbxwmuyttodbbiwkzahpsihyorsfaoyudxhgxabszcampcggrjj,Swahili,2021-01-09 02:00:00,55
sqrmeaywotaelsbelajnmvlsfkmbpankxvavqfxirspsqnmrzhsdnknqgwuhifahpjbbxfxntgk,Somali,2021-01-09 03:00:00,62
lobafjvtjhinruccewnjqopxsvvnzyekbxmtsflahhshyvrxkkvxagnziftlbmkppvduafhbpbfeqzvmsozvrzxgvenlk,Dholuo,2021-01-09 04:00:00,6
ghqinnomoaomsznjusqxdtctjjzqypdvxovicpyztsgwtjivsgvbotiptsaimmwugonmbpua,Maasai,2021-01-09 05:00:00,50
gxpsrlifdeihdftiblqjeqobckxntwqjbcsygbuieohfomejcmzjdxudddiacgfbrokriqtfpdyyfcksvpby,Somali,2021-01-09 06:00:00,75
gnybskihfraspnolryuexumohvqamzdnanhwchlattbvggvwnhwhcs,Somali,2021-01-09 07:00:00,84
tydnuqqunqhxtgzgyqtorprezipyzzjyvgrardroguvudhyijnebymajicjaidx,Kikuyu,2021-01-09 08:00:00,10
iqaghvlxdnhiknascswotuhhvozqrdnskuusayitknruyurkwxhvwmlgctsomcyaalkzplclxfojowbtmcmhsediyr,Kikuyu,2021-01-09 09:00:00,97
dawoocxogrnwzgarszmecwkaiytrzfgzvsarvcmbrhyogguhcmxkfxabdsdzlnsckuqirggl,Swahili,2021-01-09 10:00:00,17
yfsqaaikffrwvjkjmupzqhmbikvfwxkjffajdffpswxvtvnngohpvnbyjznykmonmijzmhlbaildltzgd,Kikuyu,2021-01-09 11:00:00,77
eptiuqxhhecsbjlapmdctthjkddmwvypldhsahgevliimbbsdxaemdkyixilvhjdhgmtcetgcuwvagdgedsijhkrgfjdzpcjkrtu,Kalenjin,2021-01-09 12:00:00,22
uiazluduakoztynalcxvdgtwpnlzugpswfarooegewqbfcnlwmif,Swahili,2021-01-09 13:00:00,16
rqhwkpzitehgijjnvdamtzcxfapakajnweinpfoqsrizkkhvn,Kalenjin,2021-01-09 14:00:00,29
hwilcrlagdubvszjapbfhlltpicoswfrwlomdluzwwusiowwyneuxjanjlmcptkhciliukt,Dholuo,2021-01-09 15:00:00,6
